date,heure,conso
01/01/2015,00:00,71847
01/01/2015,00:15,1511
01/01/2015,00:30,1905
01/01/2015,00:45,68596
01/01/2015,01:00,7891
01/01/2015,01:15,79551
01/01/2015,01:30,69776
01/01/2015,01:45,71987
01/01/2015,02:00,73144
01/01/2015,02:15,6301
01/01/2015,02:30,68331
01/01/2015,02:45,69241
01/01/2015,03:00,73752
01/01/2015,03:15,65113
01/01/2015,03:30,63373
01/01/2015,03:45,65054
01/01/2015,04:00,66787
01/01/2015,04:15,72712
01/01/2015,04:30,71264
01/01/2015,04:45,60303
01/01/2015,05:00,73848
01/01/2015,05:15,65697
01/01/2015,05:30,61402
01/01/2015,05:45,75273
01/01/2015,06:00,67822
01/01/2015,06:15,66572
01/01/2015,06:30,74877
01/01/2015,06:45,79085
01/01/2015,07:00,1561
01/01/2015,07:15,7371
01/01/2015,07:30,73260
01/01/2015,07:45,71537
01/01/2015,08:00,75367
01/01/2015,08:15,1258
01/01/2015,08:30,68164
01/01/2015,08:45,7187
01/01/2015,09:00,61634
01/01/2015,09:15,1278
01/01/2015,09:30,78690
01/01/2015,09:45,72538
01/01/2015,10:00,73061
01/01/2015,10:15,69976
01/01/2015,10:30,76314
01/01/2015,10:45,67108
01/01/2015,11:00,74508
01/01/2015,11:15,6521
01/01/2015,11:30,79321
01/01/2015,11:45,65122
01/01/2015,12:00,69955
01/01/2015,12:15,1378
01/01/2015,12:30,60000
01/01/2015,12:45,63489
01/01/2015,13:00,61847
01/01/2015,13:15,65829
01/01/2015,13:30,69937
01/01/2015,13:45,66373
01/01/2015,14:00,76834
01/01/2015,14:15,60547
01/01/2015,14:30,61029
01/01/2015,14:45,76098
01/01/2015,15:00,6186
01/01/2015,15:15,1916
01/01/2015,15:30,71109
01/01/2015,15:45,60373
01/01/2015,16:00,1549
01/01/2015,16:15,72246
01/01/2015,16:30,76691
01/01/2015,16:45,64537
01/01/2015,17:00,79219
01/01/2015,17:15,76521
01/01/2015,17:30,69718
01/01/2015,17:45,67855
01/01/2015,18:00,75948
01/01/2015,18:15,64141
01/01/2015,18:30,78321
01/01/2015,18:45,76463
01/01/2015,19:00,68790
01/01/2015,19:15,61353
01/01/2015,19:30,77409
01/01/2015,19:45,101
01/01/2015,20:00,78804
01/01/2015,20:15,76491
01/01/2015,20:30,60152
01/01/2015,20:45,77396
01/01/2015,21:00,75146
01/01/2015,21:15,74831
01/01/2015,21:30,6133
01/01/2015,21:45,60811
01/01/2015,22:00,64947
01/01/2015,22:15,74059
01/01/2015,22:30,73649
